dataset_name,task_type,coreset_method,coreset_size,roc_auc,precision,recall,f1_score,baseline_roc_auc,performance_gain
creditcard.csv,Binary Classification,None,227845,0.9599474004570878,0.8289473684210527,0.6428571428571429,0.7241379310344828,0.9599474004570878,0
creditcard.csv,Binary Classification,Random,45569,0.9618963757421933,0.8607594936708861,0.6938775510204082,0.768361582,0.9599474004570878,0.001948975
creditcard.csv,Binary Classification,Stratified,45569,0.9662219488245494,0.8064516129032258,0.7653061224489796,0.7853403141361257,0.9599474004570878,0.006274548
creditcard.csv,Binary Classification,Kmeans,2278,0.9567715451402845,0.8108108108108109,0.6122448979591837,0.6976744186046512,0.9599474004570878,-0.003175855
creditcard.csv,Binary Classification,Uncertainty,22784,0.961822085,0.8539325842696629,0.7755102040816326,0.8128342245989305,0.9599474004570878,0.001874684
creditcard.csv,Binary Classification,Importance,22784,0.957142462,0.7282608695652174,0.6836734693877551,0.7052631578947368,0.9599474004570878,-0.002804938
creditcard.csv,Binary Classification,Reservoir,45569,0.9165455996692431,0.7816091954022989,0.6938775510204082,0.7351351351351352,0.9599474004570878,-0.043401801
creditcard.csv,Binary Classification,Gradient,22783,0.8368579740562516,0.010703363914373088,0.7142857142857143,0.021090689966857486,0.9599474004570878,-0.123089426
creditcard.csv,Binary Classification,Clustering,2278,0.930552884,0.7076923076923077,0.46938775510204084,0.5644171779141104,0.9599474004570878,-0.029394517
bankrupcy.csv,Binary Classification,None,5455,0.8730371900826446,0.35,0.1590909090909091,0.21875,0.8730371900826446,0
bankrupcy.csv,Binary Classification,Random,1091,0.8721246556473831,0.3333333333333333,0.3409090909090909,0.33707865168539325,0.8730371900826446,-0.000912534
bankrupcy.csv,Binary Classification,Stratified,1091,0.8912534435261708,0.37037037037037035,0.22727272727272727,0.28169014084507044,0.8730371900826446,0.018216253443526176
bankrupcy.csv,Binary Classification,Kmeans,272,0.8326274104683196,0.24242424242424243,0.18181818181818182,0.2077922077922078,0.8730371900826446,-0.04040978
bankrupcy.csv,Binary Classification,Uncertainty,545,0.9389634986225895,0.42857142857142855,0.20454545454545456,0.27692307692307694,0.8730371900826446,0.065926309
bankrupcy.csv,Binary Classification,Importance,545,0.8901687327823692,0.3333333333333333,0.22727272727272727,0.2702702702702703,0.8730371900826446,0.017131543
bankrupcy.csv,Binary Classification,Reservoir,1091,0.9332386363636364,0.45,0.20454545454545456,0.28125,0.8730371900826446,0.060201446
bankrupcy.csv,Binary Classification,Gradient,544,0.9119834710743803,0.35,0.4772727272727273,0.40384615384615385,0.8730371900826446,0.038946281
bankrupcy.csv,Binary Classification,Clustering,272,0.9172520661157024,0.4,0.4090909090909091,0.4044943820224719,0.8730371900826446,0.044214876
bank.csv,Binary Classification,None,8929,0.7269078218401755,0.5555555555555556,0.017123287671232876,0.033222591,0.7269078218401755,0
bank.csv,Binary Classification,Random,1785,0.6974568256724044,0.35714285714285715,0.017123287671232876,0.032679738562091505,0.7269078218401755,-0.029450996
bank.csv,Binary Classification,Stratified,1785,0.7041208810597559,0.3333333333333333,0.006849315,0.013422818791946308,0.7269078218401755,-0.022786941
bank.csv,Binary Classification,Kmeans,446,0.6929135525396456,0.46153846153846156,0.020547945,0.039344262,0.7269078218401755,-0.033994269
bank.csv,Binary Classification,Uncertainty,892,0.5820029923849449,0.46153846153846156,0.061643836,0.10876132930513595,0.7269078218401755,-0.144904829
bank.csv,Binary Classification,Importance,892,0.6806123097118418,0.28205128205128205,0.037671233,0.066465257,0.7269078218401755,-0.046295512
bank.csv,Binary Classification,Reservoir,1785,0.7040908866351901,0.5,0.01369863,0.026666667,0.7269078218401755,-0.022816935
bank.csv,Binary Classification,Gradient,891,0.7107267119758915,0.24546952224052718,0.5102739726027398,0.3314794215795328,0.7269078218401755,-0.01618111
bank.csv,Binary Classification,Clustering,446,0.6676529539215064,0,0,0,0.7269078218401755,-0.059254868
loan_approval_dataset.csv,Binary Classification,None,3415,0.9723286281506359,0.922509225,0.9416195856873822,0.9319664492078286,0.9723286281506359,0
loan_approval_dataset.csv,Binary Classification,Random,683,0.9705561677540477,0.935969868,0.935969868,0.935969868,0.9723286281506359,-0.00177246
loan_approval_dataset.csv,Binary Classification,Stratified,683,0.9713374496393858,0.9253731343283582,0.9340866290018832,0.929709466,0.9723286281506359,-0.000991179
loan_approval_dataset.csv,Binary Classification,Kmeans,170,0.9649239416254162,0.9095940959409594,0.928436911,0.918918919,0.9723286281506359,-0.007404687
loan_approval_dataset.csv,Binary Classification,Uncertainty,341,0.9697049203267392,0.970703125,0.935969868,0.9530201342281879,0.9723286281506359,-0.002623708
loan_approval_dataset.csv,Binary Classification,Importance,341,0.9720779182919079,0.9314814814814815,0.9472693032015066,0.9393090569561158,0.9723286281506359,-0.00025071
loan_approval_dataset.csv,Binary Classification,Reservoir,683,0.9687895378192907,0.9227871939736346,0.9227871939736346,0.9227871939736346,0.9723286281506359,-0.00353909
loan_approval_dataset.csv,Binary Classification,Gradient,340,0.968078221,0.9617834394904459,0.8531073446327684,0.9041916167664671,0.9723286281506359,-0.004250407
loan_approval_dataset.csv,Binary Classification,Clustering,170,0.9682822876400039,0.925512104,0.935969868,0.9307116104868914,0.9723286281506359,-0.004046341
Churn_Modelling.csv,Binary Classification,None,8000,0.7559300440656374,0.5,0.19901719901719903,0.28471001757469244,0.7559300440656374,0
Churn_Modelling.csv,Binary Classification,Random,1600,0.7667852752598516,0.54375,0.21375921375921375,0.30687830687830686,0.7559300440656374,0.010855231194214277
