dataset_name,task_type,coreset_method,coreset_size,roc_auc,precision,recall,f1_score,baseline_roc_auc,performance_gain
bankrupcy.csv,Binary Classification,None,5455,0.8730371900826446,0.35,0.1590909090909091,0.21875,0.8730371900826446,0.0
bankrupcy.csv,Binary Classification,Random,1091,0.8591425619834709,0.3111111111111111,0.3181818181818182,0.3146067415730337,0.8730371900826446,-0.013894628099173634
bankrupcy.csv,Binary Classification,Stratified,1091,0.8912534435261708,0.37037037037037035,0.22727272727272727,0.28169014084507044,0.8730371900826446,0.018216253443526176
bankrupcy.csv,Binary Classification,Kmeans,272,0.7540117079889807,0.34782608695652173,0.18181818181818182,0.23880597014925373,0.8730371900826446,-0.11902548209366393
bankrupcy.csv,Binary Classification,Uncertainty,545,0.9389634986225895,0.42857142857142855,0.20454545454545456,0.27692307692307694,0.8730371900826446,0.06592630853994497
bankrupcy.csv,Binary Classification,Importance,545,0.8583505509641872,0.4,0.13636363636363635,0.2033898305084746,0.8730371900826446,-0.014686639118457356
bankrupcy.csv,Binary Classification,Reservoir,1091,0.9162017906336086,0.3333333333333333,0.18181818181818182,0.23529411764705882,0.8730371900826446,0.04316460055096405
bankrupcy.csv,Binary Classification,Gradient,544,0.10037017906336086,0.0040650406504065045,0.09090909090909091,0.007782101167315175,0.8730371900826446,-0.7726670110192837
bankrupcy.csv,Binary Classification,Clustering,272,0.8584538567493112,0.37037037037037035,0.22727272727272727,0.28169014084507044,0.8730371900826446,-0.014583333333333393
bank.csv,Binary Classification,None,8929,0.7269078218401755,0.5555555555555556,0.017123287671232876,0.03322259136212625,0.7269078218401755,0.0
bank.csv,Binary Classification,Random,1785,0.7045390386257613,0.4642857142857143,0.04452054794520548,0.08125,0.7269078218401755,-0.022368783214414267
bank.csv,Binary Classification,Stratified,1785,0.7041208810597559,0.3333333333333333,0.00684931506849315,0.013422818791946308,0.7269078218401755,-0.02278694078041965
bank.csv,Binary Classification,Kmeans,446,0.6621675029817986,0.32142857142857145,0.030821917808219176,0.05625,0.7269078218401755,-0.06474031885837694
bank.csv,Binary Classification,Uncertainty,892,0.5820029923849449,0.46153846153846156,0.06164383561643835,0.10876132930513595,0.7269078218401755,-0.14490482945523064
bank.csv,Binary Classification,Importance,892,0.6617158222353963,0.37037037037037035,0.03424657534246575,0.06269592476489028,0.7269078218401755,-0.06519199960477928
bank.csv,Binary Classification,Reservoir,1785,0.6954207335577621,0.3076923076923077,0.0410958904109589,0.07250755287009064,0.7269078218401755,-0.03148708828241342
bank.csv,Binary Classification,Gradient,891,0.2866161348831629,0.05433746425166826,0.1952054794520548,0.08501118568232663,0.7269078218401755,-0.44029168695701265
bank.csv,Binary Classification,Clustering,446,0.6342779812693641,0.2222222222222222,0.00684931506849315,0.013289036544850499,0.7269078218401755,-0.09262984057081147
